Price,Year of built,Size(m2),Floor,HeatingType,N_elevators,N_FacilitiesNearBy(Park),N_SchoolNearBy(Total)
32743,1992,32.9805792,1,individual_heating,10,1,17
34070,1992,32.9805792,2,individual_heating,10,1,17
34513,1992,32.9805792,4,individual_heating,10,1,17
34513,1992,32.9805792,2,individual_heating,10,1,17
34513,1992,32.9805792,2,individual_heating,10,1,17
34955,1992,32.9805792,12,individual_heating,10,1,17
35398,1992,32.9805792,8,individual_heating,10,1,17
35398,1992,32.9805792,15,individual_heating,10,1,17
35398,1992,32.9805792,2,individual_heating,10,1,17
35398,2014,12.5419104,15,individual_heating,0,0,1
35398,2014,12.5419104,17,individual_heating,0,0,1
35398,2014,12.5419104,16,individual_heating,0,0,1
35398,2014,12.5419104,18,individual_heating,0,0,1
35840,1992,32.9805792,5,individual_heating,10,1,17
35840,1992,32.9805792,11,individual_heating,10,1,17
36283,1992,32.9805792,1,individual_heating,10,1,17
36283,1992,32.9805792,4,individual_heating,10,1,17
36283,1992,32.9805792,13,individual_heating,10,1,17
36283,1992,32.9805792,10,individual_heating,10,1,17
36283,1992,32.9805792,8,individual_heating,10,1,17
36283,1992,32.9805792,4,individual_heating,10,1,17
36283,1992,32.9805792,4,individual_heating,10,1,17
36548,1992,32.9805792,14,individual_heating,10,1,17
36814,1992,32.9805792,13,individual_heating,10,1,17
37168,1992,32.9805792,14,individual_heating,10,1,17
37168,1992,32.9805792,10,individual_heating,10,1,17
37168,1992,32.9805792,7,individual_heating,10,1,17
37168,1992,32.9805792,13,individual_heating,10,1,17
37168,1992,32.9805792,11,individual_heating,10,1,17
37168,1992,32.9805792,8,individual_heating,10,1,17
37610,1992,32.9805792,10,individual_heating,10,1,17
37610,1992,32.9805792,8,individual_heating,10,1,17
37610,1992,32.9805792,2,individual_heating,10,1,17
37787,1992,32.9805792,15,individual_heating,10,1,17
38053,1992,32.9805792,3,individual_heating,10,1,17
38053,1992,32.9805792,5,individual_heating,10,1,17
38053,1992,32.9805792,2,individual_heating,10,1,17
